SampleName	SampleShort	Aquarium	Date_easy	Fish	Potato
Aqm_1_02_23	Aqm_1_Day0	Aqm01	2012_02_23	1	1
Aqm_1_02_28	Aqm_1_Day7	Aqm01	2012_02_28	1	2
Aqm_1_03_06	Aqm_1_Day14	Aqm01	2012_03_06	1	3
Aqm_1_03_13	Aqm_1_Day21	Aqm01	2012_03_13	1	3
Aqm_1_03_20	Aqm_1_Day28	Aqm01	2012_03_20	1	3
Aqm_1_03_27	Aqm_1_Day35	Aqm01	2012_03_27	1	1
Aqm_1_05_01	Aqm_1_Day42	Aqm01	2012_05_01	1	1
Aqm_1_06_05	Aqm_1_Day62	Aqm01	2012_06_05	1	2
Aqm_1_07_18	Aqm_1_Day92	Aqm01	2012_07_18	1	2
Aqm_1_08_13	Aqm_1_Day122	Aqm01	2012_08_13	1	1
Aqm_1_09_11	Aqm_1_Day152	Aqm01	2012_09_11	1	1
Aqm_1_10_10	Aqm_1_Day182	Aqm01	2012_10_10	1	1
Aqm_10_02_23	Aqm_2_Day0	Aqm10	2012_02_23	12	2
Aqm_10_02_28	Aqm_2_Day7	Aqm10	2012_02_28	12	2
Aqm_10_03_06	Aqm_2_Day14	Aqm10	2012_03_06	12	2
Aqm_10_03_13	Aqm_2_Day21	Aqm10	2012_03_13	12	3
Aqm_10_03_20	Aqm_2_Day28	Aqm10	2012_03_20	12	3
Aqm_10_03_27	Aqm_2_Day35	Aqm10	2012_03_27	12	1
Aqm_10_05_01	Aqm_2_Day42	Aqm10	2012_05_01	12	1
Aqm_10_06_05	Aqm_2_Day62	Aqm10	2012_06_05	12	2
Aqm_10_07_18	Aqm_2_Day92	Aqm10	2012_07_18	12	3
Aqm_10_08_13	Aqm_2_Day122	Aqm10	2012_08_13	12	1
Aqm_10_09_11	Aqm_2_Day152	Aqm10	2012_09_11	12	3
Aqm_10_10_10	Aqm_2_Day182	Aqm10	2012_10_10	12	2
